"filename", "language", "PlantUML", "Markdown", "XML", "comment", "blank", "total"
"c:\Code\rustic-book\src\SUMMARY.md", "Markdown", 0, 32, 0, 0, 4, 36
"c:\Code\rustic-book\src\back_matter\build.md", "Markdown", 0, 190, 0, 3, 59, 252
"c:\Code\rustic-book\src\back_matter\credits.md", "Markdown", 0, 67, 0, 0, 5, 72
"c:\Code\rustic-book\src\back_matter\faq.md", "Markdown", 0, 116, 0, 3, 26, 145
"c:\Code\rustic-book\src\back_matter\glossary.md", "Markdown", 0, 38, 0, 0, 5, 43
"c:\Code\rustic-book\src\back_matter\me.md", "Markdown", 0, 57, 0, 0, 12, 69
"c:\Code\rustic-book\src\communication\introduction.md", "Markdown", 0, 24, 0, 0, 4, 28
"c:\Code\rustic-book\src\diagrams\architecture.svg", "XML", 0, 0, 22, 38, 0, 60
"c:\Code\rustic-book\src\diagrams\concept.svg", "XML", 0, 0, 5, 21, 0, 26
"c:\Code\rustic-book\src\diagrams\killer_move.svg", "XML", 0, 0, 17, 45, 0, 62
"c:\Code\rustic-book\src\evaluation\evaluation.md", "Markdown", 0, 1, 0, 0, 0, 1
"c:\Code\rustic-book\src\evaluation\psqt.md", "Markdown", 0, 104, 0, 3, 28, 135
"c:\Code\rustic-book\src\evaluation\understand.md", "Markdown", 0, 57, 0, 0, 12, 69
"c:\Code\rustic-book\src\front_matter\about_book.md", "Markdown", 0, 47, 0, 3, 12, 62
"c:\Code\rustic-book\src\front_matter\about_rustic.md", "Markdown", 0, 38, 0, 0, 6, 44
"c:\Code\rustic-book\src\front_matter\downloads.md", "Markdown", 0, 13, 0, 0, 4, 17
"c:\Code\rustic-book\src\front_matter\preface.md", "Markdown", 0, 32, 0, 0, 7, 39
"c:\Code\rustic-book\src\front_matter\prereq.md", "Markdown", 0, 82, 0, 3, 20, 105
"c:\Code\rustic-book\src\front_matter\title.md", "Markdown", 0, 5, 0, 0, 3, 8
"c:\Code\rustic-book\src\introduction\concept.md", "Markdown", 0, 30, 0, 0, 8, 38
"c:\Code\rustic-book\src\introduction\design.md", "Markdown", 0, 47, 0, 0, 10, 57
"c:\Code\rustic-book\src\introduction\introduction.md", "Markdown", 0, 1, 0, 0, 0, 1
"c:\Code\rustic-book\src\introduction\roadmap.md", "Markdown", 0, 93, 0, 0, 14, 107
"c:\Code\rustic-book\src\progress\changelog.md", "Markdown", 0, 66, 0, 3, 17, 86
"c:\Code\rustic-book\src\progress\playing_strength.md", "Markdown", 0, 80, 0, 3, 22, 105
"c:\Code\rustic-book\src\progress\progress.md", "Markdown", 0, 1, 0, 0, 0, 1
"c:\Code\rustic-book\src\progress\sprt_results.md", "Markdown", 0, 60, 0, 3, 20, 83
"c:\Code\rustic-book\src\progress\sprt_testing.md", "Markdown", 0, 74, 0, 0, 22, 96
"c:\Code\rustic-book\src\search\introduction.md", "Markdown", 0, 1, 0, 0, 0, 1
"c:\Code\rustic-book\src\search\ordering\history.md", "Markdown", 0, 1, 0, 0, 0, 1
"c:\Code\rustic-book\src\search\ordering\how.md", "Markdown", 0, 91, 0, 0, 14, 105
"c:\Code\rustic-book\src\search\ordering\killers.md", "Markdown", 0, 248, 0, 3, 73, 324
"c:\Code\rustic-book\src\search\ordering\mvv_lva.md", "Markdown", 0, 130, 0, 0, 27, 157
"c:\Code\rustic-book\src\search\ordering\ordering.md", "Markdown", 0, 1, 0, 0, 0, 1
"c:\Code\rustic-book\src\search\ordering\reason.md", "Markdown", 0, 59, 0, 0, 15, 74
"c:\Code\rustic-book\src\search\ordering\tt_move.md", "Markdown", 0, 118, 0, 0, 25, 143
"c:\Code\rustic-book\src\search\search.md", "Markdown", 0, 1, 0, 0, 0, 1
"c:\Code\rustic-book\src\uml\architecture.puml", "PlantUML", 27, 0, 0, 0, 3, 30
"c:\Code\rustic-book\src\uml\concept.puml", "PlantUML", 10, 0, 0, 0, 3, 13
"c:\Code\rustic-book\src\uml\killer.puml", "PlantUML", 33, 0, 0, 0, 4, 37
"Total", "-", 70, 2005, 44, 131, 484, 2734
